Designator,Mid X,Mid Y,Layer,Rotation
C1,30.89,19.37,Top,90.0
C2,19.36,19.26,Top,0.0
C3,23.70,24.75,Top,180.0
C5, 9.57,16.33,Top,90.0
C6,36.64,30.32,Top,90.0
C7,34.74,30.31,Top,90.0
C8,32.84,30.30,Top,90.0
D2,17.23,33.84,Top,90.0
DNP-C4,17.18,23.10,Top,90.0
DNP-C9,19.66,25.37,Top,180.0
IC1,25.53,18.75,Top,0.0
J1,43.31, 7.52,Top,90.0
J2, 6.48, 7.62,Top,270.0
J3,25.20, 1.60,Top,0.0
JP1,19.08,15.93,Top,270.0
R1,30.76,26.11,Top,315.0
R2,23.52,26.74,Top,180.0
R3,29.17,12.76,Top,0.0
R4,22.93,12.63,Top,180.0
R5,27.10,24.74,Top,0.0
R6,19.17,33.85,Top,270.0
R7,32.43, 6.93,Top,90.0
R8,17.83, 7.03,Top,90.0
U1,15.37,17.48,Top,90.0
U2,37.08,21.14,Top,180.0
USB-C-HOST,25.53,32.72,Top,180.0
Y2,19.40,23.30,Top,180.0
